mouse_moves,mouse_clicks,keystrokes,scrolls,time_spent,label
402,32,104,27,510,0
285,22,67,18,388,0
374,29,91,24,485,0
296,23,71,19,401,0
43,3,7,2,52,1
31,2,5,1,38,1
59,4,11,3,74,1
27,2,4,1,32,1
67,5,12,3,81,1
336,27,82,21,442,0
408,33,108,28,520,0
294,23,71,19,398,0
372,29,92,24,486,0
305,24,75,20,419,0
50,3,9,2,63,1
37,2,6,1,44,1
65,5,12,3,79,1
42,3,8,1,50,1
60,4,11,3,75,1
329,26,80,21,437,0
400,32,103,27,508,0
286,22,68,18,389,0
366,28,87,22,470,0
299,23,72,19,403,0
45,3,8,2,56,1
33,2,5,1,41,1
62,5,11,3,76,1
39,3,7,1,47,1
56,4,10,2,69,1
334,27,81,21,443,0
412,33,111,29,523,0
297,23,72,19,404,0
370,29,93,24,487,0
308,24,76,20,421,0
52,3,9,2,64,1
38,2,6,1,45,1
66,5,12,3,80,1
43,3,8,1,51,1
61,4,11,3,77,1
331,26,80,21,438,0
404,32,105,27,512,0
287,22,68,19,391,0
368,28,88,23,472,0
302,24,74,20,417,0
46,3,8,2,57,1
34,2,6,1,43,1
64,5,11,3,78,1
40,3,7,1,48,1
59,4,10,2,72,1
338,27,83,21,445,0
414,33,112,29,524,0
295,23,71,19,399,0
374,29,94,24,488,0
310,25,77,20,425,0
54,3,9,2,66,1
39,2,6,1,46,1
68,5,12,3,81,1
44,3,8,1,52,1
62,4,11,3,78,1
332,26,81,21,439,0
406,33,109,28,521,0
288,22,69,19,392,0
372,29,92,24,486,0
304,24,75,20,418,0
48,3,8,2,59,1
35,2,6,1,44,1
63,5,11,3,77,1
41,3,7,1,49,1
57,4,10,2,70,1
336,27,82,21,443,0
410,33,110,29,522,0
290,23,70,19,396,0
376,29,93,24,489,0
306,24,76,20,420,0
51,3,9,2,65,1
37,2,6,1,45,1
65,5,12,3,79,1
42,3,8,1,50,1
60,4,11,3,76,1
330,26,80,21,436,0
402,32,104,27,509,0
289,22,69,19,393,0
370,29,91,23,477,0
301,24,74,20,415,0
47,3,8,2,58,1
34,2,6,1,43,1
62,5,11,3,75,1
40,3,7,1,47,1
58,4,10,2,71,1
334,27,81,21,442,0
408,33,108,28,518,0
291,23,70,19,395,0
374,29,92,24,485,0
303,24,75,20,416,0
49,3,9,2,61,1
36,2,6,1,42,1
64,5,12,3,78,1
41,3,7,1,48,1
59,4,11,3,73,1
328,26,79,21,434,0
400,32,103,27,506,0
286,22,68,18,390,0
366,28,88,23,472,0
299,23,72,19,402,0
45,3,8,2,56,1
33,2,5,1,40,1
61,4,11,3,74,1
39,3,7,1,46,1
56,4,10,2,69,1
332,26,80,21,437,0
404,32,105,27,510,0
287,22,68,19,391,0
368,28,89,23,473,0
300,24,73,20,414,0
46,3,8,2,57,1
34,2,6,1,43,1
63,5,11,3,76,1
40,3,7,1,47,1
57,4,10,2,70,1
336,27,82,21,443,0
410,33,109,29,519,0
292,23,70,19,396,0
372,29,91,24,484,0
302,24,74,20,417,0
48,3,8,2,59,1
35,2,6,1,44,1
65,5,12,3,80,1
41,3,7,1,49,1
58,4,10,2,71,1
330,26,79,21,435,0
402,32,104,27,507,0
288,22,69,19,392,0
370,29,90,23,475,0
301,24,73,20,415,0
47,3,8,2,58,1
34,2,6,1,43,1
62,5,11,3,75,1
39,3,7,1,46,1
55,4,10,2,68,1
334,27,81,21,441,0
406,33,107,28,516,0
293,23,71,19,397,0
374,29,92,24,483,0
304,24,75,20,418,0
49,3,9,2,60,1
36,2,6,1,42,1
64,5,12,3,79,1
42,3,8,1,50,1
60,4,11,3,76,1
329,26,80,21,436,0
400,32,102,26,505,0
289,22,69,19,393,0
368,28,88,23,471,0
299,23,72,19,401,0
46,3,8,2,57,1
33,2,5,1,41,1
61,4,11,3,74,1
40,3,7,1,47,1
56,4,10,2,69,1
333,27,81,21,440,0
408,33,108,28,517,0
294,23,71,19,398,0
376,29,93,24,486,0
305,24,76,20,419,0
50,3,9,2,62,1
37,2,6,1,44,1
66,5,12,3,81,1
43,3,8,1,51,1
62,4,11,3,77,1
331,26,80,21,437,0
402,32,104,27,508,0
290,23,70,19,395,0
372,29,92,24,484,0
303,24,74,20,416,0
48,3,8,2,59,1
35,2,6,1,43,1
63,5,11,3,76,1
41,3,7,1,48,1
59,4,10,2,72,1
335,27,82,21,442,0
410,33,110,29,520,0
295,23,71,19,399,0
378,29,94,24,487,0
307,24,77,20,422,0
52,3,9,2,64,1
38,2,6,1,45,1
67,5,12,3,82,1
44,3,8,1,52,1
63,4,11,3,78,1
333,26,81,21,438,0
406,33,109,28,519,0
292,23,70,19,396,0
374,29,93,24,485,0
304,24,75,20,418,0
49,3,9,2,61,1
36,2,6,1,42,1
64,5,12,3,79,1
42,3,8,1,50,1
60,4,11,3,76,1
329,26,80,21,435,0
400,32,103,27,506,0
289,22,69,19,393,0
370,29,91,23,476,0
301,24,74,20,415,0
47,3,8,2,58,1
34,2,6,1,43,1
62,5,11,3,75,1
40,3,7,1,47,1
57,4,10,2,70,1
331,26,80,21,436,0
404,32,105,27,509,0
290,23,70,19,394,0
372,29,92,24,483,0
302,24,74,20,416,0
48,3,8,2,59,1
35,2,6,1,44,1
63,5,11,3,76,1
41,3,7,1,48,1
58,4,10,2,71,1
333,27,81,21,439,0
408,33,108,28,517,0
293,23,71,19,397,0
376,29,93,24,486,0
305,24,76,20,419,0
50,3,9,2,62,1
37,2,6,1,44,1
65,5,12,3,80,1
42,3,8,1,50,1
61,4,11,3,77,1
330,26,79,21,434,0
402,32,104,27,507,0
291,23,70,19,395,0
374,29,92,24,484,0
303,24,75,20,417,0
49,3,9,2,60,1
36,2,6,1,42,1
64,5,12,3,79,1
41,3,7,1,48,1
59,4,10,2,72,1
332,26,80,21,437,0
406,33,107,28,515,0
294,23,71,19,398,0
378,29,94,24,488,0
306,24,76,20,420,0
51,3,9,2,63,1
38,2,6,1,45,1
66,5,12,3,81,1
43,3,8,1,51,1
62,4,11,3,78,1
329,26,80,21,435,0
400,32,102,26,504,0
292,23,70,19,396,0
376,29,93,24,485,0
304,24,75,20,418,0
48,3,8,2,58,1
35,2,6,1,43,1
63,5,11,3,76,1
41,3,7,1,48,1
58,4,10,2,71,1
331,26,80,21,436,0
404,32,105,27,508,0
293,23,71,19,397,0
380,30,95,25,490,0
307,24,77,20,421,0
52,3,9,2,64,1
38,2,6,1,45,1
67,5,12,3,82,1
44,3,8,1,52,1
63,4,11,3,78,1
333,27,82,21,440,0
408,33,109,28,518,0
295,23,71,19,399,0
382,30,96,25,492,0
309,25,78,20,424,0
54,3,9,2,66,1
39,2,6,1,46,1
68,5,12,3,83,1
45,3,8,1,53,1
64,4,11,3,79,1
335,27,83,21,443,0
410,33,111,29,522,0
297,23,72,19,402,0
384,30,97,25,494,0
312,25,80,20,428,0
56,3,10,2,68,1
40,2,6,1,47,1
70,6,13,4,85,1
46,3,8,1,54,1
66,5,12,3,81,1
337,27,84,22,445,0
415,34,115,30,528,0
300,24,73,20,425,0
388,31,100,26,500,0
315,25,82,20,432,0
58,4,10,2,70,1
42,3,7,1,49,1
72,6,14,4,87,1
48,3,9,1,56,1
68,5,13,3,83,1
340,27,85,22,448,0
420,34,118,30,532,0
305,24,75,20,430,0
392,31,102,26,504,0
320,26,85,21,440,0
60,4,11,3,72,1
44,3,8,1,51,1
74,6,15,4,89,1
50,3,9,1,58,1
70,6,13,4,85,1
342,28,86,22,450,0
425,35,120,31,535,0
308,24,77,20,433,0
395,32,105,27,508,0
325,26,87,21,445,0
62,4,11,3,74,1
46,3,8,1,53,1
76,6,15,4,91,1
52,3,9,1,60,1
72,6,14,4,87,1
345,28,87,22,452,0
430,35,122,31,538,0
312,25,79,20,436,0
400,32,107,27,512,0
330,26,88,21,448,0
64,4,12,3,76,1
48,3,9,1,55,1
78,6,16,4,93,1
54,3,10,1,62,1
74,6,15,4,89,1
348,28,88,23,455,0
435,35,125,32,542,0
315,25,80,20,439,0
405,33,110,28,516,0
335,27,90,22,452,0
66,4,12,3,78,1
50,3,9,1,57,1
80,6,16,4,95,1
56,3,10,1,64,1
76,6,15,4,91,1
350,29,89,23,458,0
440,36,128,32,545,0
318,25,82,20,442,0
410,33,112,28,520,0
340,27,92,22,456,0
68,4,13,3,80,1
52,3,10,1,59,1
82,6,17,4,97,1
58,3,11,1,66,1
78,6,16,4,93,1
355,29,90,23,462,0
445,36,130,33,550,0
322,26,85,21,446,0
415,34,115,29,525,0
345,28,94,23,460,0
70,4,13,3,82,1
54,3,10,1,61,1
84,7,18,5,99,1
60,4,11,1,68,1
80,6,17,4,95,1
360,30,92,24,465,0
450,37,132,33,555,0
325,26,87,21,449,0
420,34,118,30,530,0
350,28,96,23,464,0
72,4,14,3,84,1
56,3,11,1,63,1
86,7,19,5,101,1
62,4,12,1,70,1
82,6,18,4,97,1
365,30,93,24,468,0
455,37,135,34,560,0
328,26,88,21,452,0
425,35,120,30,535,0
355,29,98,24,468,0
74,4,14,3,86,1
58,3,11,1,65,1
88,7,20,5,103,1
64,4,12,1,72,1
84,7,18,5,99,1
370,31,95,25,472,0
460,38,138,34,565,0
332,27,90,22,456,0
430,35,122,31,540,0
360,29,100,24,472,0
76,4,15,3,88,1
60,3,12,1,67,1
90,7,21,5,105,1
66,4,13,1,74,1
86,7,19,5,101,1
375,31,96,25,475,0
465,38,140,35,570,0
335,27,92,22,460,0
435,36,125,32,545,0
365,30,102,25,476,0
78,4,15,3,90,1
62,3,12,1,69,1
92,7,22,5,107,1
68,4,13,1,76,1
88,7,20,5,103,1
380,32,98,25,478,0
470,39,142,35,575,0
338,27,94,22,464,0
440,36,128,32,550,0
370,30,104,25,480,0
80,4,16,3,92,1
64,3,13,1,71,1
94,7,23,5,109,1
70,4,14,1,78,1
90,7,21,5,105,1
385,32,99,26,482,0
475,39,145,36,580,0
342,28,96,23,468,0
445,36,130,33,555,0
375,31,106,26,484,0
82,4,16,3,94,1
66,3,13,1,73,1
96,8,24,5,111,1
72,4,14,1,80,1
92,7,22,5,107,1
390,33,101,26,485,0
480,40,148,36,585,0
345,28,98,23,472,0
450,37,132,33,560,0
380,31,108,26,488,0
84,4,17,3,96,1
68,3,14,1,75,1
98,8,25,5,113,1
74,4,15,1,82,1
94,7,23,5,109,1
395,33,102,26,488,0
485,40,150,37,590,0
348,28,100,23,476,0
455,37,135,34,565,0
385,32,110,27,492,0
86,4,17,3,98,1
70,3,14,1,77,1
100,8,26,5,115,1
76,4,15,1,84,1
96,8,24,5,111,1
400,34,104,27,492,0
490,41,152,37,595,0
352,29,102,24,480,0
460,38,138,34,570,0
390,32,112,27,496,0
88,4,18,3,100,1
72,3,15,1,79,1
102,8,27,5,117,1
78,4,16,1,86,1
98,8,25,5,113,1
405,34,105,27,495,0
495,41,155,38,600,0
355,29,104,24,484,0
465,38,140,35,575,0
395,33,114,28,500,0
90,4,18,3,102,1
74,3,15,1,81,1
104,8,28,5,119,1
80,4,16,1,88,1
100,8,26,5,115,1
410,35,107,28,498,0
500,42,158,38,605,0
358,29,106,24,488,0
470,39,142,35,580,0
400,33,116,28,504,0
92,4,19,3,104,1
76,3,16,1,83,1
106,8,29,5,121,1
82,4,17,1,90,1
102,8,27,5,117,1
415,35,108,28,501,0
505,42,160,39,610,0
362,30,108,25,492,0
475,39,145,36,585,0
405,34,118,29,508,0
94,4,19,3,106,1
78,3,16,1,85,1
108,8,30,5,123,1
84,4,17,1,92,1
104,8,28,5,119,1
420,36,110,29,504,0
510,43,162,39,615,0
365,30,110,25,496,0
480,40,148,36,590,0
410,34,120,29,512,0
96,4,20,3,108,1
80,3,17,1,87,1
110,9,31,6,125,1
86,4,18,1,94,1
106,8,29,5,121,1
425,36,111,29,507,0
515,43,165,40,620,0
368,30,112,25,500,0
485,40,150,37,595,0
415,35,122,30,516,0
98,4,20,3,110,1
82,3,17,1,89,1
112,9,32,6,127,1
88,4,18,1,96,1
108,8,30,5,123,1
430,37,113,30,510,0
520,44,168,40,625,0
372,31,114,26,504,0
490,41,152,37,600,0
420,35,124,30,520,0
100,4,21,3,112,1
84,3,18,1,91,1
114,9,33,6,129,1
90,4,19,1,98,1
110,9,31,6,125,1
435,37,115,30,513,0
525,44,170,41,630,0
375,31,116,26,508,0
495,41,155,38,605,0
425,36,126,31,524,0
102,4,21,3,114,1
86,3,18,1,93,1
116,9,34,6,131,1
92,4,19,1,100,1
112,9,32,6,127,1
440,38,117,31,516,0
530,45,172,41,635,0
378,31,118,26,512,0
500,42,158,38,610,0
430,36,128,31,528,0
104,4,22,3,116,1
88,3,19,1,95,1
118,9,35,6,133,1
94,4,20,1,102,1
114,9,33,6,129,1
445,38,119,31,519,0
535,45,175,42,640,0
382,32,120,27,516,0
505,42,160,39,615,0
435,37,130,32,532,0
106,4,22,3,118,1
90,3,19,1,97,1
120,9,36,6,135,1
96,4,20,1,104,1
116,9,34,6,131,1
450,39,121,32,522,0
540,46,178,42,645,0
385,32,122,27,520,0
510,43,162,39,620,0
440,37,132,32,536,0
108,4,23,3,120,1
92,3,20,1,99,1
122,10,37,6,137,1
98,4,21,1,106,1
118,9,35,6,133,1
455,39,123,32,525,0
545,46,180,43,650,0
388,32,124,27,524,0
515,43,165,40,625,0
445,38,134,33,540,0
110,4,23,3,122,1
94,3,20,1,101,1
124,10,38,6,139,1
100,4,21,1,108,1
120,9,36,6,135,1
460,40,125,33,528,0
550,47,182,43,655,0
392,33,126,28,528,0
520,44,168,40,630,0
450,38,136,33,544,0
112,4,24,3,124,1
96,3,21,1,103,1
126,10,39,6,141,1
102,4,22,1,110,1
122,10,37,6,137,1
465,40,127,33,531,0
555,47,185,44,660,0
395,33,128,28,532,0
525,44,170,41,635,0
455,39,138,34,548,0
114,4,24,3,126,1
98,3,21,1,105,1
128,10,40,6,143,1
104,4,22,1,112,1
124,10,38,6,139,1
470,41,129,34,534,0
560,48,188,44,665,0
398,33,130,28,536,0
530,45,172,41,640,0
460,39,140,34,552,0
116,4,25,3,128,1
100,3,22,1,107,1
130,10,41,6,145,1
106,4,23,1,114,1
126,10,39,6,141,1
475,41,131,34,537,0
565,48,190,45,670,0
400,34,132,29,540,0
535,45,175,42,645,0
465,40,142,35,556,0
118,4,25,3,130,1
102,3,22,1,109,1
132,10,42,6,147,1
108,4,23,1,116,1
128,10,40,6,143,1
480,42,133,35,540,0
570,49,192,45,675,0
405,34,134,29,544,0
540,46,178,42,650,0
470,40,144,35,560,0
120,4,26,3,132,1
104,3,23,1,111,1
134,10,43,6,149,1
110,4,24,1,118,1
130,10,41,6,145,1
485,42,135,35,543,0
575,49,195,46,680,0
410,35,136,30,548,0
545,46,180,43,655,0
475,41,146,36,564,0
122,4,26,3,134,1
106,3,23,1,113,1
136,10,44,6,151,1
112,4,24,1,120,1
132,10,42,6,147,1
490,43,137,36,546,0
580,50,198,46,685,0
415,35,138,30,552,0
550,47,182,43,660,0
480,41,148,36,568,0
124,4,27,3,136,1
108,3,24,1,115,1
138,10,45,6,153,1
114,4,25,1,122,1
134,10,43,6,149,1
495,43,139,36,549,0
585,50,200,47,690,0
420,36,140,31,556,0
555,47,185,44,665,0
485,42,150,37,572,0
126,4,27,3,138,1
110,3,24,1,117,1
140,10,46,6,155,1
116,4,25,1,124,1
136,10,44,6,151,1
500,44,141,37,552,0
590,51,202,47,695,0
425,36,142,31,560,0
560,48,188,44,670,0
490,42,152,37,576,0
128,4,28,3,140,1
112,3,25,1,119,1
142,10,47,6,157,1
118,4,26,1,126,1
138,10,45,6,153,1
505,44,143,37,555,0
595,51,205,48,700,0
430,37,144,32,564,0
565,48,190,45,675,0
495,43,154,38,580,0
130,4,28,3,142,1
114,3,25,1,121,1
144,10,48,6,159,1
120,4,26,1,128,1
140,10,46,6,155,1
510,45,145,38,558,0
600,52,208,48,705,0
435,37,146,32,568,0
570,49,192,45,680,0
500,43,156,38,584,0
132,4,29,3,144,1
116,3,26,1,123,1
146,10,49,6,161,1
122,4,27,1,130,1
142,10,47,6,157,1
515,45,147,38,561,0
605,52,210,49,710,0
440,38,148,33,572,0
575,49,195,46,685,0
505,44,158,39,588,0
134,4,29,3,146,1
118,3,26,1,125,1
148,10,50,6,163,1
124,4,27,1,132,1
144,10,48,6,159,1
520,46,149,39,564,0
610,53,212,49,715,0
445,38,150,33,576,0
580,50,198,46,690,0
510,44,160,39,592,0
136,4,30,3,148,1
120,3,27,1,127,1
150,10,51,6,165,1
126,4,28,1,134,1
146,10,49,6,161,1
525,46,151,39,567,0
615,53,215,50,720,0
450,39,152,34,580,0
585,50,200,47,695,0
515,45,162,40,596,0
138,4,30,3,150,1
122,3,27,1,129,1
152,10,52,6,167,1
128,4,28,1,136,1
148,10,50,6,163,1
530,47,153,40,570,0
620,54,218,50,725,0
455,39,154,34,584,0
590,51,202,47,700,0
520,45,164,40,600,0
140,4,31,3,152,1
124,3,28,1,131,1
154,10,53,6,169,1
130,4,29,1,138,1
150,10,51,6,165,1
535,47,155,40,573,0
625,54,220,51,730,0
460,40,156,35,588,0
595,51,205,48,705,0
525,46,166,41,604,0
142,4,31,3,154,1
126,3,28,1,133,1
156,10,54,6,171,1
132,4,29,1,140,1
152,10,52,6,167,1
540,48,157,41,576,0
630,55,222,51,735,0
465,40,158,35,592,0
600,52,208,48,710,0
530,46,168,41,608,0
144,4,32,3,156,1
128,3,29,1,135,1
158,10,55,6,173,1
134,4,30,1,142,1
154,10,53,6,169,1
545,48,159,41,579,0
635,55,225,52,740,0
470,41,160,36,596,0
605,52,210,49,715,0
535,47,170,42,612,0
146,4,32,3,158,1
130,3,29,1,137,1
160,10,56,6,175,1
136,4,30,1,144,1
156,10,54,6,171,1
550,49,161,42,582,0
640,56,228,52,745,0
475,41,162,36,600,0
610,53,212,49,720,0
540,47,172,42,616,0
148,4,33,3,160,1
132,3,30,1,139,1
162,10,57,6,177,1
138,4,31,1,146,1
158,10,55,6,173,1
555,49,163,42,585,0
645,56,230,53,750,0
480,42,164,37,604,0
615,53,215,50,725,0
545,48,174,43,620,0
150,4,33,3,162,1
134,3,30,1,141,1
164,10,58,6,179,1
140,4,31,1,148,1
160,10,56,6,175,1
560,50,165,43,588,0
650,57,232,53,755,0
485,42,166,37,608,0
620,54,218,50,730,0
550,48,176,43,624,0
152,4,34,3,164,1
136,3,31,1,143,1
166,10,59,6,181,1
142,4,32,1,150,1
162,10,57,6,177,1
565,50,167,43,591,0
655,57,235,54,760,0
490,43,168,38,612,0
625,54,220,51,735,0
555,49,178,44,628,0
154,4,34,3,166,1
138,3,31,1,145,1
168,10,60,6,183,1
144,4,32,1,152,1
164,10,58,6,179,1
570,51,169,44,594,0
660,58,238,54,765,0
495,43,170,38,616,0
630,55,222,51,740,0
560,49,180,44,632,0
156,4,35,3,168,1
140,3,32,1,147,1
170,10,61,6,185,1
146,4,33,1,154,1
166,10,59,6,181,1
575,51,171,44,597,0
665,58,240,55,770,0
500,44,172,39,620,0
635,55,225,52,745,0
565,49,182,44,636,0
158,4,35,3,170,1
142,3,32,1,149,1
172,10,62,6,187,1
148,4,33,1,156,1
168,10,60,6,183,1
580,52,173,45,600,0
670,59,242,55,775,0
505,44,174,39,624,0
640,56,228,52,750,0
570,50,184,45,640,0
160,4,36,3,172,1
144,3,33,1,151,1
174,10,63,6,189,1
150,4,34,1,158,1
170,10,61,6,185,1
585,52,175,45,603,0
675,59,245,56,780,0
510,45,176,40,628,0
645,56,230,53,755,0
575,50,186,45,644,0
162,4,36,3,174,1
146,3,33,1,153,1
176,10,64,6,191,1
152,4,34,1,160,1
172,10,62,6,187,1
590,53,177,46,606,0
680,60,248,56,785,0
515,45,178,40,632,0
650,57,232,53,760,0
580,51,188,46,648,0
164,4,37,3,176,1
148,3,34,1,155,1
178,10,65,6,193,1
154,4,35,1,162,1
174,10,63,6,189,1
595,53,179,46,609,0
685,60,250,57,790,0
520,46,180,41,636,0
655,57,235,54,765,0
585,51,190,46,652,0
166,4,37,3,178,1
150,3,34,1,157,1
180,10,66,6,195,1
156,4,35,1,164,1
176,10,64,6,191,1
600,54,181,47,612,0
690,61,252,57,795,0
525,46,182,41,640,0
660,58,238,54,770,0
590,52,192,47,656,0
168,4,38,3,180,1
152,3,35,1,159,1
182,10,67,6,197,1
158,4,36,1,166,1
178,10,65,6,193,1
605,54,183,47,615,0
695,61,255,58,800,0
530,47,184,42,644,0
665,58,240,55,775,0
595,52,194,47,660,0
170,4,38,3,182,1
154,3,35,1,161,1
184,10,68,6,199,1
160,4,36,1,168,1
180,10,66,6,195,1
610,55,185,48,618,0
700,62,258,58,805,0
535,47,186,42,648,0
670,59,242,55,780,0
600,53,196,48,664,0
172,4,39,3,184,1
156,3,36,1,163,1
186,10,69,6,201,1
162,4,37,1,170,1
182,10,67,6,197,1
615,55,187,48,621,0
705,62,260,59,810,0
540,48,188,43,652,0
675,59,245,56,785,0
605,53,198,48,668,0
174,4,39,3,186,1
158,3,36,1,165,1
188,10,70,6,203,1
164,4,37,1,172,1
184,10,68,6,199,1
620,56,189,49,624,0
710,63,262,59,815,0
545,48,190,43,656,0
680,60,248,56,790,0
610,54,200,49,672,0
176,4,40,3,188,1
160,3,37,1,167,1
190,10,71,6,205,1
166,4,38,1,174,1
186,10,69,6,201,1
625,56,191,49,627,0
715,63,265,60,820,0
550,49,192,44,660,0
685,60,250,57,795,0
615,54,202,49,676,0
178,4,40,3,190,1
162,3,37,1,169,1
192,10,72,6,207,1
168,4,38,1,176,1
188,10,70,6,203,1
630,57,193,50,630,0
720,64,268,60,825,0
555,49,194,44,664,0
690,61,252,57,800,0
620,55,204,50,680,0
180,4,41,3,192,1
164,3,38,1,171,1
194,10,73,6,209,1
170,4,39,1,178,1
190,10,71,6,205,1
635,57,195,50,633,0
725,64,270,61,830,0
560,50,196,45,668,0
695,61,255,58,805,0
625,55,206,50,684,0
182,4,41,3,194,1
166,3,38,1,173,1
196,10,74,6,211,1
172,4,39,1,180,1
192,10,72,6,207,1
640,58,197,51,636,0
730,65,272,61,835,0
565,50,198,45,672,0
700,62,258,58,810,0
630,56,208,51,688,0
184,4,42,3,196,1
168,3,39,1,175,1
198,10,75,6,213,1
174,4,40,1,182,1
194,10,73,6,209,1
645,58,199,51,639,0
735,65,275,62,840,0
570,51,200,46,676,0
705,62,260,59,815,0
635,56,210,51,692,0
186,4,42,3,198,1
170,3,39,1,177,1
200,10,76,6,215,1
176,4,40,1,184,1
196,10,74,6,211,1
650,59,201,52,642,0
740,66,278,62,845,0
575,51,202,46,680,0
710,63,262,59,820,0
640,57,212,52,696,0
188,4,43,3,200,1
172,3,40,1,179,1
202,10,77,6,217,1
178,4,41,1,186,1
198,10,75,6,213,1
655,59,203,52,645,0
745,66,280,63,850,0
580,52,204,47,684,0
715,63,265,60,825,0
645,57,214,52,700,0
190,4,43,3,202,1
174,3,40,1,181,1
204,10,78,6,219,1
180,4,41,1,188,1
200,10,76,6,215,1
660,60,205,53,648,0
750,67,282,63,855,0
585,52,206,47,688,0
720,64,268,60,830,0
650,58,216,53,704,0
192,4,44,3,204,1
176,3,41,1,183,1
206,10,79,6,221,1
182,4,42,1,190,1
202,10,77,6,217,1
665,60,207,53,651,0
